id;value;createdAt;updatedAt;ingredientId;nutrientId
370;45.8;2017-12-05 18:11:44.906+00;2017-12-05 18:11:44.906+00;5;10
371;0.51;2017-12-05 18:11:44.907+00;2017-12-05 18:11:44.907+00;5;29
372;1.1;2017-12-05 18:11:44.907+00;2017-12-05 18:11:44.907+00;5;30
373;1.01;2017-12-05 18:11:44.907+00;2017-12-05 18:11:44.907+00;5;28
374;36;2017-12-05 18:11:44.907+00;2017-12-05 18:11:44.907+00;5;72
375;0.22;2017-12-05 18:11:44.907+00;2017-12-05 18:11:44.907+00;5;51
376;28.5;2017-12-05 18:11:44.908+00;2017-12-05 18:11:44.908+00;5;73
377;0.54;2017-12-05 18:11:44.908+00;2017-12-05 18:11:44.908+00;5;39
379;22;2017-12-05 18:11:44.908+00;2017-12-05 18:11:44.908+00;5;3
380;0.28;2017-12-05 18:11:44.908+00;2017-12-05 18:11:44.908+00;5;55
382;0.46;2017-12-05 18:11:44.909+00;2017-12-05 18:11:44.909+00;5;47
384;47.2;2017-12-05 18:11:44.909+00;2017-12-05 18:11:44.909+00;5;12
385;48.4;2017-12-05 18:11:44.909+00;2017-12-05 18:11:44.909+00;5;13
386;47.2;2017-12-05 18:11:44.91+00;2017-12-05 18:11:44.91+00;5;14
387;0.45;2017-12-05 18:11:44.91+00;2017-12-05 18:11:44.91+00;5;43
388;0.15;2017-12-05 18:11:44.91+00;2017-12-05 18:11:44.91+00;5;44
389;0.35;2017-12-05 18:11:44.91+00;2017-12-05 18:11:44.91+00;5;42
390;0.55;2017-12-05 18:11:44.91+00;2017-12-05 18:11:44.91+00;5;45
391;28;2017-12-05 18:11:44.911+00;2017-12-05 18:11:44.911+00;5;65
392;3.1;2017-12-05 18:11:44.911+00;2017-12-05 18:11:44.911+00;5;74
394;9.8;2017-12-05 18:11:44.911+00;2017-12-05 18:11:44.911+00;5;75
395;7;2017-12-05 18:11:44.911+00;2017-12-05 18:11:44.911+00;5;76
398;102.7;2017-12-05 18:11:44.912+00;2017-12-05 18:11:44.912+00;5;67
399;7.7;2017-12-05 18:11:44.912+00;2017-12-05 18:11:44.912+00;5;68
400;31;2017-12-05 18:11:44.912+00;2017-12-05 18:11:44.912+00;5;63
401;39.6;2017-12-05 18:11:48.394+00;2017-12-05 18:11:48.394+00;6;9
403;0.36;2017-12-05 18:11:48.395+00;2017-12-05 18:11:48.395+00;6;31
404;0.19;2017-12-05 18:11:48.395+00;2017-12-05 18:11:48.395+00;6;36
406;0.3;2017-12-05 18:11:48.396+00;2017-12-05 18:11:48.396+00;6;69
407;1.13;2017-12-05 18:11:48.396+00;2017-12-05 18:11:48.396+00;6;48
408;33.44;2017-12-05 18:11:48.396+00;2017-12-05 18:11:48.396+00;6;4
410;1335;2017-12-05 18:11:48.396+00;2017-12-05 18:11:48.396+00;6;70
411;0.35;2017-12-05 18:11:48.397+00;2017-12-05 18:11:48.397+00;6;49
412;0.3;2017-12-05 18:11:48.397+00;2017-12-05 18:11:48.397+00;6;56
413;13.7;2017-12-05 18:11:48.397+00;2017-12-05 18:11:48.397+00;6;2
415;10;2017-12-05 18:11:48.397+00;2017-12-05 18:11:48.397+00;6;58
416;0.092;2017-12-05 18:11:48.398+00;2017-12-05 18:11:48.398+00;6;38
417;2.23;2017-12-05 18:11:48.398+00;2017-12-05 18:11:48.398+00;6;15
418;2;2017-12-05 18:11:48.398+00;2017-12-05 18:11:48.398+00;6;16
419;2.23;2017-12-05 18:11:48.398+00;2017-12-05 18:11:48.398+00;6;17
420;1.95;2017-12-05 18:11:48.398+00;2017-12-05 18:11:48.398+00;6;18
421;0.94;2017-12-05 18:11:48.399+00;2017-12-05 18:11:48.399+00;6;19
422;2;2017-12-05 18:11:48.399+00;2017-12-05 18:11:48.399+00;6;20
423;88;2017-12-05 18:11:48.399+00;2017-12-05 18:11:48.399+00;6;1
424;1.15;2017-12-05 18:11:48.399+00;2017-12-05 18:11:48.399+00;6;5
425;1.15;2017-12-05 18:11:48.399+00;2017-12-05 18:11:48.399+00;6;6
426;92;2017-12-05 18:11:48.4+00;2017-12-05 18:11:48.4+00;6;11
427;250;2017-12-05 18:11:48.4+00;2017-12-05 18:11:48.4+00;6;60
428;4.35;2017-12-05 18:11:48.4+00;2017-12-05 18:11:48.4+00;6;71
429;0.42;2017-12-05 18:11:48.4+00;2017-12-05 18:11:48.4+00;6;46
430;0.19;2017-12-05 18:11:48.4+00;2017-12-05 18:11:48.4+00;6;32
