Group 1,Group 2,Feedstuff,Minimum,Maximum
,Pigeons,Butter,0,100
,Sheep,Beef tallow,0,100
,Beef Cattle,Beef tallow,0,100
,Poultry,Beef tallow,0,100
,Goats,Beef tallow,0,100
,Cats,Beef tallow,0,100
,Fish,Beef tallow,0,100
,Pigs,Beef tallow,0,100
,Horses,Beef tallow,0,100
,Rabbits,Beef tallow,0,100
,Dairy Cattle,Beef tallow,0,100
,Game,Beef tallow,0,100
,Dogs,Beef tallow,0,100
,Alpacas and Llamas,Beef tallow,0,100
,Pigeons,Beef tallow,0,100
,Sheep,Canola (Rapeseed) oil,0,100
,Beef Cattle,Canola (Rapeseed) oil,0,100
,Poultry,Canola (Rapeseed) oil,0,100
,Goats,Canola (Rapeseed) oil,0,100
,Cats,Canola (Rapeseed) oil,0,100
,Fish,Canola (Rapeseed) oil,0,100
,Pigs,Canola (Rapeseed) oil,0,100
,Horses,Canola (Rapeseed) oil,0,100
,Rabbits,Canola (Rapeseed) oil,0,100
,Dairy Cattle,Canola (Rapeseed) oil,0,100
,Game,Canola (Rapeseed) oil,0,100
,Dogs,Canola (Rapeseed) oil,0,100
,Alpacas and Llamas,Canola (Rapeseed) oil,0,100
,Pigeons,Canola (Rapeseed) oil,0,100
,Sheep,Flaxseed oil,0,100
,Beef Cattle,Flaxseed oil,0,100
,Poultry,Flaxseed oil,0,100
,Goats,Flaxseed oil,0,100
,Cats,Flaxseed oil,0,100
,Fish,Flaxseed oil,0,100
,Pigs,Flaxseed oil,0,100
,Horses,Flaxseed oil,0,100
,Rabbits,Flaxseed oil,0,100
,Dairy Cattle,Flaxseed oil,0,100
,Game,Flaxseed oil,0,100
,Dogs,Flaxseed oil,0,100
,Alpacas and Llamas,Flaxseed oil,0,100
,Pigeons,Flaxseed oil,0,100
,Sheep,"Blood meal, spray or ring dried",0,80
,Beef Cattle,"Blood meal, spray or ring dried",0,80
,Poultry,"Blood meal, spray or ring dried",0,80
,Goats,"Blood meal, spray or ring dried",0,80
,Cats,"Blood meal, spray or ring dried",0,80
,Fish,"Blood meal, spray or ring dried",0,80
,Pigs,"Blood meal, spray or ring dried",0,80
,Horses,"Blood meal, spray or ring dried",0,80
,Rabbits,"Blood meal, spray or ring dried",0,80
,Dairy Cattle,"Blood meal, spray or ring dried",0,80
,Game,"Blood meal, spray or ring dried",0,80
,Dogs,"Blood meal, spray or ring dried",0,80
,Alpacas and Llamas,"Blood meal, spray or ring dried",0,80
,Pigeons,"Blood meal, spray or ring dried",0,80
,Sheep,Safflower oil,0,100
,Beef Cattle,Safflower oil,0,100
,Poultry,Safflower oil,0,100
,Goats,Safflower oil,0,100
,Cats,Safflower oil,0,100
,Fish,Safflower oil,0,100
,Pigs,Safflower oil,0,100
,Horses,Safflower oil,0,100
,Rabbits,Safflower oil,0,100
,Dairy Cattle,Safflower oil,0,100
,Game,Safflower oil,0,100
,Dogs,Safflower oil,0,100
,Alpacas and Llamas,Safflower oil,0,100
,Pigeons,Safflower oil,0,100
